
C:\Users\nobleric\dev\ESL-Data>c:\Users\nobleric\dev\neo4j\bin\neo4jshell -c -v -path c:/Users/nobleric/dev/neo4j/data -file os-types.cql 

+-------------------------------------------------------------------------------------------------------------------------+
| Solution                                                | Number_of_servers | OS_Types                                  |
| "aviva uk:sbc healthcare01 prd hps"                     | 2                 | ["Windows"]                               |
| "aviva uk:upp claims analytics prd hpg"                 | 1                 | ["Windows"]                               |
| "aviva uk:seps uat hps"                                 | 2                 | ["Windows","z/OS"]                        |
| "aviva uk:hardware management prd hpp(x)"               | 26                | ["z/OS","Other"]                          |
| "aviva uk:wps (ukhe) dev hpb"                           | 1                 | ["Windows"]                               |
| "aviva uk:mdm tst hps"                                  | 1                 | ["AIX"]                                   |
| "aviva uk:tivoli monitoring dev hps"                    | 1                 | ["AIX"]                                   |
| "aviva uk:customer innovation centre mgt dev hpb(x)"    | 126               | ["Windows","VMWare"]                      |
| "aviva uk:magnum jv prd hps"                            | 1                 | ["Windows"]                               |
| "aviva uk:sbc finance02 pre hps"                        | 2                 | ["Windows"]                               |
| "aviva uk:wiki prd hps"                                 | 1                 | ["Windows"]                               |
| "aviva uk:tm164 (ai) prd hps"                           | 3                 | ["Windows"]                               |
| "aviva uk:hp performance centre tst hpb"                | 9                 | ["Windows"]                               |
| "aviva uk:hp config prd hpg"                            | 1                 | ["Windows"]                               |
