Full Node Name|Inventory ID|Latest RIM Connect|Latest RIM Load|browser status
025fv1b.via.novonet||||
025fv2b.via.novonet||||
026fv1c.via.novonet||||
026fv2c.via.novonet||||
143dv1c.via.novonet||||
143dv2c.via.novonet||||
22bdv1b.via.novonet||||
22bdv2b.via.novonet||||
3590-manual ctl.via.novonet||||
3590-manual dr0.via.novonet||||
3590-manual dr1.via.novonet||||
3838143.via.novonet||||
3838421.via.novonet||||
3838422.via.novonet||||
3fbdv1b.via.novonet||||
3fbdv2b.via.novonet||||
5b4dv1c.via.novonet||||
5b4dv2c.via.novonet||||
5b5dv1b.via.novonet||||
5b5dv2b.via.novonet||||
5b6dv1b.via.novonet||||
5b6dv2b.via.novonet||||
5b7dv1c.via.novonet||||
5b7dv2c.via.novonet||||
9309 rack.via.novonet||||
appl249a.via.novonet|NWCABJAYXGZL6Z7DM75QYE44NQ|2013-12-08 03:32:00|2013-12-10 03:59:00|
appl250a.via.novonet|6DDRJWOANCUQ7DLPVCMDM5XEGA|2013-12-08 03:15:00|2013-12-10 03:59:00|PROD
appl254a.via.novonet|4YBVNN6SZO5UOYID5NXF6BMNBQ|2013-12-08 02:15:00|2013-12-10 03:59:00|PROD
appl255a.via.novonet|OTJKGO35BPKTGGNAUQ2IV77FGE|2013-12-08 03:02:00|2013-12-10 03:59:00|
appl257a.via.novonet|BF7N7WSBJN6734WF5HONNFLEZQ|2013-12-08 03:30:00|2013-12-10 03:59:00|
appl259a.via.novonet|6US2WQEZEYTXAIFI4X6AKDIQV4|2013-12-08 03:19:00|2013-12-10 03:59:00|
appl261a.via.novonet|EIFECUDSHVBBKBJIV5GX5C6YSE|2013-12-08 04:01:00|2013-12-10 03:59:00|
appl263a.via.novonet|S5G5GI36Y3KFF4FAOSYZ7UDW5I|2013-12-08 03:26:00|2013-12-10 03:59:00|
appl265a.via.novonet|UVWNXG47Q5ZNVM5REDSRQH6GQ4|2013-12-08 02:37:00|2013-12-10 03:59:00|PROD
appl267a.via.novonet|EHM3RET7LIN2MDMC3SHRWF2JIU|2013-12-08 02:02:00|2013-12-10 03:59:00|
appl269a.via.novonet|HB5Y2G5NG5XEJY4Q2V6APHFSEU|2013-12-08 02:35:00|2013-12-10 03:59:00|
appl283a.via.novonet|4SML27GXDCE4SBOPAJ5JVDQVWA|2013-12-08 03:07:00|2013-12-10 03:59:00|PROD
appl284a.via.novonet|SGBVOKZG7GWENFT76T2Z7JWHDI|2013-12-08 02:04:00|2013-12-10 03:59:00|PROD
appl285a.via.novonet|SD2FS3JZZNM2W4TRZMNUUZCAVQ|2013-12-08 03:23:00|2013-12-10 03:59:00|
appl286a.via.novonet|BD5CPP6URWDUTJGU26UI7MXEK4|2013-12-08 03:36:00|2013-12-10 03:59:00|
appl287a.via.novonet|X4W5WQ5AXVCSRO5D4R3564CURM|2013-12-08 03:13:00|2013-12-10 03:59:00|
appl288a.via.novonet|FX6FDXZATLVGTJ3X3IWDOXIJ7A|2013-12-08 02:45:00|2013-12-10 03:59:00|
appl289a.via.novonet|E5OUESNGLRNUT7GS7FSMGRSBZY|2013-12-08 02:48:00|2013-12-10 03:59:00|
appl298a.via.novonet|RBHIWUIBMD5JAOMDUXRNG6Z3DI|2013-12-08 02:21:00|2013-12-10 03:59:00|
appl299a.via.novonet|O7IPXP57HRV6VWXI25LL4OBWE4|2013-12-08 02:38:00|2013-12-10 03:59:00|
appl300a.via.novonet|OVONSRKP45LPNTUNX2GB5H6K24|2013-12-08 03:06:00|2013-12-10 03:59:00|
appl303a.via.novonet|AL2IUP7BGSL5OJX23Y6YLXGLWM|2013-12-08 03:12:00|2013-12-10 03:59:00|
appl305a.via.novonet|G7ITQ6UCTJ4OKCBVPFLYADEV6M|2013-12-08 03:55:00|2013-12-10 03:59:00|
